#,round_id,roundStartDate,result
342,383818,1700706425381,3.03
343,383819,1700706450344,16.64
344,383820,1700706495302,1.05
345,383821,1700706507766,2.03
346,383822,1700706528637,10.57
347,383823,1700706568616,1.5
348,383824,1700706585503,2.29
349,383825,1700706606747,53.5
350,383826,1700706665909,4.56
351,383827,1700706695822,1
352,383829,1700706736101,3048.49
353,383830,1700706844036,1.61
354,383832,1700706889096,1.67
355,383833,1700706907458,7.37
356,383834,1700706942848,29.69
357,383835,1700706995042,2.15
358,383836,1700707016345,3.34
359,383837,1700707042605,31.07
360,383838,1700707095237,1.61
361,383839,1700707113209,1.18
362,383840,1700707127666,2.14
363,383841,1700707148514,1.61
364,383842,1700707166787,8.9
365,383843,1700707204610,2.68
366,383844,1700707228480,2.91
367,383845,1700707253220,1.16
368,383846,1700707267074,1.32
369,383847,1700707282057,1.38
370,383848,1700707297659,1.76
371,383849,1700707316055,14.46
372,383850,1700707359586,1.2
373,383851,1700707374429,1.48
374,383852,1700707390817,16.91
375,383853,1700707436173,2.13
376,383854,1700707457967,1.34
377,383855,1700707473452,1.47
378,383856,1700707489694,1.35
379,383857,1700707505187,3.62
380,383858,1700707532053,1.91
381,383859,1700707552027,1.13
382,383860,1700707565124,1.29
383,383861,1700707579760,1.06
384,383862,1700707591952,1.67
385,383863,1700707609610,1.07
386,383864,1700707621961,1.07
387,383865,1700707634139,11.42
388,383866,1700707675065,1.16
389,383867,1700707688687,6.18
390,383868,1700707722068,1.42
391,383869,1700707738639,1.08
392,383870,1700707751253,15.43
393,383871,1700707795226,1.87
394,383872,1700707814578,1.24
395,383873,1700707828615,1.95
396,383874,1700707847874,6.18
397,383875,1700707881169,1.83
398,383877,1700707912860,1.76
399,383878,1700707931276,1.01
400,383879,1700707942991,1.08
401,383880,1700707955423,86.69
402,383881,1700708020127,1.66
403,383882,1700708038537,3.73
404,383883,1700708065678,1.88
405,383884,1700708085012,2.78
406,383885,1700708115108,8.55
407,383886,1700708152131,118.95
408,383887,1700708220877,6.63
409,383888,1700708255133,3.45
410,383889,1700708281693,14.33
411,383890,1700708325179,1.08
412,383891,1700708338714,6.31
413,383892,1700708372076,1.13
414,383893,1700708385797,3.61
415,383894,1700708412792,3.41
416,383895,1700708439129,2.8
417,383897,1700708477071,1.02
418,383898,1700708489555,1.48
419,383899,1700708505909,3.59
420,383900,1700708533399,1.06
421,383901,1700708546108,102.33
422,383902,1700708612758,1.12
423,383903,1700708627069,4.38
424,383904,1700708656425,1.12
425,383905,1700708669806,5.53
426,383906,1700708701883,3.14
427,383907,1700708727316,3.39
428,383908,1700708753800,1.19
429,383909,1700708767740,1.13
430,383910,1700708780758,1.11
431,383911,1700708793557,1.1
432,383912,1700708806305,1.1
433,383913,1700708819005,1.12
434,383914,1700708831977,7.6
435,383915,1700708867766,1
436,383916,1700708879851,1.97
437,383917,1700708899672,3.51
438,383918,1700708926580,1.55
439,383919,1700708943885,49.53
440,383920,1700709002000,1.21
441,383921,1700709016321,8.59
442,383922,1700709053574,1
443,383923,1700709065486,1.04
444,383924,1700709077858,12.52
445,383925,1700709119455,3.09
446,383926,1700709144874,3.7
447,383927,1700709172097,8.52
448,383928,1700709209329,1.51
449,383929,1700709227280,1
450,383930,1700709239038,1.69
451,383931,1700709256976,2.12
452,383932,1700709277959,101.49
453,383933,1700709344869,4.28
454,383934,1700709374205,2.49
455,383935,1700709396955,9.56
456,383936,1700709435610,1.19
457,383937,1700709449908,4.46
458,383938,1700709479201,1
459,383939,1700709491769,1.38
460,383940,1700709507570,1.72
461,383941,1700709526442,19.11
462,383942,1700709573548,1.49
463,383943,1700709592308,1.37
464,383944,1700709608018,3.7
465,383945,1700709635416,2.05
466,383946,1700709661121,12.49
467,383947,1700709702900,1.23
468,383948,1700709719343,1.77
469,383949,1700709739009,2.61
470,383950,1700709762453,2.26
471,383951,1700709785262,1.94
472,383952,1700709805217,7.47
473,383953,1700709844265,2.22
474,383954,1700709867002,1.02
475,383955,1700709879409,8.04
476,383956,1700709915894,2.28
477,383957,1700709938111,1.54
478,383958,1700709955275,7.32
479,383959,1700709990689,9.16
480,383960,1700710029176,7.2
481,383961,1700710064563,13.23
482,383962,1700710107391,1
483,383963,1700710119669,2.15
484,383964,1700710141188,2.3
485,383965,1700710164054,2.59
486,383966,1700710191171,2.5
487,383967,1700710214360,3.93
488,383968,1700710244532,2.5
489,383969,1700710279334,1.44
490,383970,1700710296623,3.97
491,383971,1700710324613,1.22
492,383972,1700710339585,1.55
493,383973,1700710359526,1.04
494,383974,1700710372085,3.34
495,383975,1700710401350,1.56
496,383976,1700710419037,3.42
497,383977,1700710446049,10.43
498,383978,1700710485945,2.52
499,383979,1700710510159,7.59
500,383980,1700710546093,2.79
501,383981,1700710570581,1.17
502,383982,1700710584346,1.24
503,383983,1700710598565,2.48
504,383984,1700710620994,2.84
505,383985,1700710645544,2.77
506,383986,1700710669766,1.55
507,383987,1700710687465,1.12
508,383988,1700710700613,2.06
509,383989,1700710722987,1.48
510,383990,1700710740401,2.01
511,383993,1700710801230,1.01
512,383994,1700710812934,1.14
513,383995,1700710826050,1.35
514,383996,1700710841289,7.6
515,383997,1700710876981,20.14
516,383998,1700710924748,2.69
517,383999,1700710948643,4.18
518,384000,1700710978452,1.49
519,384001,1700710996567,1.42
520,384002,1700711012771,1.2
521,384003,1700711027124,4.15
522,384004,1700711055755,1.08
523,384005,1700711069493,1
524,384006,1700711081166,1.72
525,384007,1700711099727,1.56
526,384008,1700711116953,1.06
527,384009,1700711129506,2.65
528,384010,1700711152741,1.17
529,384011,1700711166885,3.89
530,384012,1700711194436,1.39
531,384013,1700711210269,1
532,384014,1700711221856,3.8
533,384015,1700711249193,3.09
534,384016,1700711274763,1.23
535,384017,1700711288964,20.79
536,384018,1700711336645,1.84
537,384019,1700711356586,1.7
538,384020,1700711374598,4.34
539,384021,1700711403652,9.83
540,384022,1700711442664,5
541,384023,1700711475019,1
542,384024,1700711487469,1.02
543,384025,1700711499426,2.74
544,384026,1700711522991,4.19
545,384027,1700711551982,4.85
546,384028,1700711582873,1
547,384029,1700711595041,1.83
548,384030,1700711613806,3.53
549,384031,1700711641376,2.53
550,384032,1700711665005,1.29
551,384033,1700711680331,1.09
552,384034,1700711693054,3.05
553,384035,1700711718007,1.56
554,384036,1700711735730,1.25
555,384037,1700711750034,1.11
556,384038,1700711763102,2.29
557,384039,1700711784300,8.66
558,384040,1700711821708,3.04
559,384041,1700711846927,192.72
560,384042,1700711921560,1.13
561,384043,1700711936376,1.35
562,384044,1700711951650,1.36
563,384045,1700711967127,2.23
564,384046,1700711988251,2.11
565,384047,1700712009859,4.06
566,384048,1700712039093,6.34
567,384049,1700712072849,1.18
568,384050,1700712086960,1.29
569,384051,1700712101398,1.18
570,384052,1700712115074,2.15
571,384053,1700712136204,1
572,384054,1700712148523,1.33
573,384055,1700712163416,1.53
574,384056,1700712180381,1.18
575,384057,1700712194028,1.08
576,384058,1700712206300,8.88
577,384059,1700712243960,9.44
578,384060,1700712283104,2.28
579,384061,1700712305416,1.67
580,384062,1700712323323,3.68
581,384063,1700712350313,1.6
582,384064,1700712368738,1.49
583,384065,1700712385348,1.86
584,384066,1700712404338,1.74
585,384067,1700712422739,3.06
586,384068,1700712447624,7.16
587,384069,1700712482855,1.04
588,384070,1700712495837,4.1
589,384071,1700712524247,1.42
590,384072,1700712541261,12.15
591,384075,1700712617607,3.25
592,384076,1700712643715,1.07
593,384077,1700712656808,2.08
594,384078,1700712677215,1.68
595,384079,1700712695500,3.55
596,384080,1700712722162,1.72
597,384081,1700712740496,3.39
598,384082,1700712766817,20.35
599,384083,1700712814377,1.28
600,384084,1700712830221,1.81
601,384085,1700712849165,255.21
602,384086,1700712927134,9.18
603,384087,1700712965636,1.07
604,384088,1700712978684,2.56
605,384089,1700713001453,1.43
606,384090,1700713018164,1.67
607,384091,1700713036342,1.29
608,384092,1700713051466,282.89
609,384093,1700713130756,1.16
610,384094,1700713147607,1
611,384095,1700713159185,2.41
612,384096,1700713181415,1.2
613,384097,1700713196312,1.03
614,384098,1700713208657,1.99
615,384099,1700713228467,2.04
616,384100,1700713250073,1.76
617,384102,1700713281105,1.34
618,384103,1700713296003,1.97
619,384104,1700713315819,3.37
620,384105,1700713342008,1.01
621,384106,1700713354127,2.78
622,384107,1700713377722,1.78
623,384108,1700713397015,16.07
624,384109,1700713441807,1.04
625,384110,1700713454545,19.94
626,384111,1700713501861,2.77
627,384112,1700713526089,1.14
628,384113,1700713539750,1.55
629,384114,1700713556960,2.41
630,384115,1700713579288,1.72
631,384116,1700713598005,2.56
632,384117,1700713620899,1.84
633,384118,1700713639933,6.62
634,384119,1700713674134,3.96
635,384120,1700713702258,2.76
636,384121,1700713726638,3.8
637,384122,1700713754402,3.77
638,384123,1700713782262,3.56
639,384124,1700713809219,1.77
640,384125,1700713828734,1.46
641,384126,1700713845767,1.09
642,384127,1700713858430,2.04
643,384128,1700713878821,1.1
644,384129,1700713892468,2.69
645,384130,1700713916033,3.97
646,384131,1700713944262,1.27
647,384132,1700713959374,1.59
648,384133,1700713976397,4.06
649,384134,1700714005179,1.75
650,384135,1700714025014,49.07
651,384136,1700714083405,2.38
652,384137,1700714106876,2.45
653,384138,1700714129469,1.3
654,384139,1700714144827,3.08
655,384140,1700714169747,1.96
656,384141,1700714190025,1.21
657,384142,1700714204497,4.79
658,384143,1700714234481,3.86
659,384144,1700714262388,1.12
660,384145,1700714275753,1.46
661,384146,1700714293148,4.27
662,384147,1700714323330,1.19
663,384148,1700714338368,3.78
664,384149,1700714365790,12.35
665,384150,1700714407525,2.45
666,384151,1700714430269,1.1
667,384152,1700714443425,1.44
668,384153,1700714459640,1.46
669,384154,1700714476132,1.24
670,384155,1700714490594,1
671,384156,1700714502216,2.04
672,384157,1700714522707,4.94
673,384158,1700714557100,5.23
674,384159,1700714588579,41.72
675,384160,1700714644965,1.11
676,384161,1700714659014,1.66
677,384162,1700714680712,1.05
678,384163,1700714693244,2.08
679,384164,1700714713686,12.01
680,384165,1700714755300,2.9
681,384166,1700714780326,1.42
682,384167,1700714796676,2.17
683,384168,1700714817649,5.83
684,384169,1700714850533,1.42
685,384170,1700714867120,1.31
686,384171,1700714882553,5.42
687,384172,1700714914364,2.6
688,384173,1700714939014,3.42
689,384174,1700714965556,7.95
690,384175,1700715002345,31.06
691,384176,1700715055364,2.34
692,384177,1700715077695,1.07
693,384178,1700715090860,1
694,384179,1700715102632,1.87
695,384180,1700715122206,1.48
696,384181,1700715139988,2.82
697,384182,1700715164287,1.5
698,384183,1700715182380,15.24
699,384184,1700715226543,1.32
700,384185,1700715243329,4.35
701,384186,1700715272841,2.57
702,384187,1700715296858,1.01
703,384188,1700715309580,13.17
704,384189,1700715351931,2.4
705,384190,1700715374936,1.2
706,384191,1700715389229,1.55
707,384192,1700715406717,6.47
708,384193,1700715443794,1.42
709,384194,1700715461153,2.22
710,384195,1700715482687,1.62
711,384198,1700715531565,1.09
712,384200,1700715607212,4.33
713,384201,1700715637237,1
714,384202,1700715649477,13.8
715,384203,1700715696033,2.56
716,384204,1700715719691,1
717,384205,1700715731703,2.26
718,384206,1700715753618,1.79
719,384207,1700715773076,2.37
720,384208,1700715795137,1.07
721,384209,1700715808061,4.68
722,384210,1700715841039,1.35
723,384211,1700715857363,6.81
724,384212,1700715892190,1.78
725,384213,1700715911287,3.13
726,384214,1700715937244,4.58
727,384215,1700715967258,26.36
728,384216,1700716018194,2.61
729,384217,1700716043028,1.21
730,384218,1700716066131,2.05
731,384219,1700716090943,4.45
732,384220,1700716121197,2.34
733,384221,1700716145363,1.64
734,384222,1700716163608,80.67
735,384223,1700716228168,1.33
736,384224,1700716244883,2.1
737,384225,1700716266884,1.21
738,384226,1700716281821,7.79
739,384227,1700716319639,1
740,384228,1700716335522,1.4
741,384229,1700716352195,2.14
742,384230,1700716373483,1.35
743,384231,1700716389770,2.37
744,384232,1700716414190,6.61
745,384233,1700716449860,1
746,384234,1700716462846,2.32
747,384235,1700716484913,1.95
748,384236,1700716511514,1.3
749,384237,1700716530092,1.18
750,384238,1700716544681,2.05
751,384239,1700716568478,1.27
752,384240,1700716591139,7.87
753,384241,1700716627459,1.36
754,384243,1700716662867,1.92
755,384244,1700716683144,1.26
756,384245,1700716701894,1.08
757,384246,1700716714735,1.04
758,384247,1700716727544,2.69
759,384248,1700716751165,2.89
760,384249,1700716776778,1.19
761,384250,1700716794650,1.06
762,384251,1700716807111,6.1
763,384252,1700716841639,8.99
764,384253,1700716883677,1
765,384254,1700716896010,3.29
766,384255,1700716925091,1.84
767,384256,1700716945339,7.53
768,384257,1700716981190,1.42
769,384258,1700717001069,1.02
770,384259,1700717013462,1.41
771,384260,1700717030392,1.02
772,384261,1700717042903,26.15
773,384262,1700717095789,9.85
774,384263,1700717135182,5.16
775,384264,1700717169185,1.59
776,384265,1700717190686,1.47
777,384266,1700717207045,1.53
778,384267,1700717223915,1.9
779,384268,1700717246415,1.55
780,384269,1700717265023,3.35
781,384270,1700717303062,1.43
782,384271,1700717320507,4.67
783,384272,1700717353208,1.77
784,384273,1700717372274,2.33
785,384274,1700717394381,5.29
786,384275,1700717431444,38.17
787,384276,1700717486909,2.78
788,384277,1700717514888,3.56
789,384278,1700717543934,1.47
790,384279,1700717561751,49.82
791,384280,1700717626585,1
792,384281,1700717643502,6.22
793,384282,1700717682997,1.07
794,384283,1700717707064,11.32
795,384284,1700717760649,2.97
796,384286,1700717804743,4.53
797,384287,1700717861696,1.02
798,384288,1700717888852,8.94
799,384289,1700717948117,3.06
800,384290,1700717999600,1.11
801,384291,1700718074987,1.16
802,384292,1700718127321,102.78
803,384293,1700718233815,1.06
804,384294,1700718263187,18.88
805,384295,1700718352590,3.53
806,384296,1700718459208,1.09
807,384297,1700718557295,1
808,384300,1700718732779,2.19
809,384301,1700718819281,1.97
810,384302,1700718855918,15.8
811,384303,1700718905499,2.81
812,384304,1700718955856,1.87
813,384305,1700718988004,23.07
814,384306,1700719055025,20.27
815,384307,1700719117961,1.94
816,384308,1700719154306,1.85
817,384309,1700719190101,1.31
818,384310,1700719213322,2.05
819,384311,1700719238157,1.87
820,384312,1700719260078,1.03
821,384313,1700719281112,2.54
822,384314,1700719304669,1.29
823,384315,1700719323586,1.43
824,384316,1700719344007,58.49
825,384317,1700719408113,1.84
826,384318,1700719434990,1
827,384319,1700719448799,1.76
828,384320,1700719476593,1.59
829,384321,1700719502084,1.52
830,384322,1700719524111,1.01
831,384323,1700719539632,1.59
832,384324,1700719562154,1.98
833,384325,1700719587432,1.66
834,384326,1700719613483,12.4
835,384327,1700719670684,1.39
836,384328,1700719695396,1.57
837,384329,1700719718412,1.55
838,384330,1700719746430,1.04
839,384331,1700719775241,1.6
840,384332,1700719797676,99.77
841,384333,1700719864708,2.33
842,384334,1700719888762,2.13
843,384335,1700719921205,1.47
844,384336,1700719941004,2.58
